d[2,54] = 3; PATH: 2-16-26-54
d[2,55] = 2; PATH: 2-55
d[2,56] = 3; PATH: 2-7-56
d[2,57] = 3; PATH: 2-4-57
d[2,58] = 3; PATH: 2-16-58
d[2,59] = 2; PATH: 2-81-59
d[2,60] = 2; PATH: 2-19-60
d[2,61] = 3; PATH: 2-4-69-61
d[2,62] = 3; PATH: 2-16-33-62
d[2,63] = 2; PATH: 2-46-63
d[2,64] = 2; PATH: 2-4-64
d[2,65] = 3; PATH: 2-19-9-65
d[2,66] = 3; PATH: 2-4-66
d[2,67] = 2; PATH: 2-46-67
d[2,68] = 2; PATH: 2-16-68
d[2,69] = 2; PATH: 2-4-69
d[2,70] = 3; PATH: 2-16-8-70
d[2,71] = 3; PATH: 2-16-68-71
d[2,72] = 2; PATH: 2-46-72
d[2,73] = 2; PATH: 2-4-73
d[2,74] = 3; PATH: 2-4-1-74
d[2,75] = 3; PATH: 2-19-75
d[2,76] = 2; PATH: 2-81-76
d[2,77] = 3; PATH: 2-4-77
d[2,78] = 2; PATH: 2-81-78
d[2,79] = 3; PATH: 2-7-79
d[2,80] = 2; PATH: 2-16-80
d[2,81] = 1; PATH: 2-81
d[2,82] = 3; PATH: 2-4-40-82
d[2,83] = 2; PATH: 2-81-83
d[2,84] = 3; PATH: 2-7-84
d[2,85] = 3; PATH: 2-7-85
d[2,86] = 2; PATH: 2-16-86
d[2,87] = 3; PATH: 2-7-87
d[2,88] = 3; PATH: 2-16-88
d[2,89] = 4; PATH: 2-19-9-34-89
d[2,90] = 2; PATH: 2-19-90
d[2,91] = 2; PATH: 2-91
d[2,92] = 3; PATH: 2-4-92
d[2,93] = 3; PATH: 2-43-93
d[2,94] = 3; PATH: 2-19-9-94
d[2,95] = 3; PATH: 2-19-95
d[2,96] = 3; PATH: 2-16-96
d[2,97] = 3; PATH: 2-19-9-97
d[2,98] = 2; PATH: 2-98
d[2,99] = 2; PATH: 2-19-99
d[2,100] = 2; PATH: 2-16-100
d[3,1] = 2; PATH: 3-64-1
d[3,2] = 2; PATH: 3-77-2
d[3,4] = 3; PATH: 3-45-18-4
d[3,5] = 2; PATH: 3-64-5
