d[1,155] = 2; PATH: 1-99-155
d[1,156] = 3; PATH: 1-156
d[1,157] = 2; PATH: 1-169-157
d[1,158] = 2; PATH: 1-99-158
d[1,159] = 2; PATH: 1-191-159
d[1,160] = 2; PATH: 1-160
d[1,161] = 3; PATH: 1-3-161
d[1,162] = 2; PATH: 1-162
d[1,163] = 3; PATH: 1-35-10-163
d[1,164] = 2; PATH: 1-124-164
d[1,165] = 2; PATH: 1-169-165
d[1,166] = 2; PATH: 1-26-166
d[1,167] = 2; PATH: 1-167
d[1,168] = 2; PATH: 1-191-168
d[1,169] = 1; PATH: 1-169
d[1,170] = 2; PATH: 1-172-170
d[1,171] = 2; PATH: 1-26-171
d[1,172] = 1; PATH: 1-172
d[1,173] = 2; PATH: 1-35-173
d[1,174] = 2; PATH: 1-174
d[1,175] = 3; PATH: 1-29-175
d[1,176] = 2; PATH: 1-172-176
d[1,177] = 3; PATH: 1-90-177
d[1,178] = 3; PATH: 1-40-178
d[1,179] = 3; PATH: 1-66-71-179
d[1,180] = 2; PATH: 1-99-180
d[1,181] = 2; PATH: 1-181
d[1,182] = 3; PATH: 1-26-182
d[1,183] = 2; PATH: 1-123-183
d[1,184] = 2; PATH: 1-66-184
d[1,185] = 3; PATH: 1-66-49-185
d[1,186] = 3; PATH: 1-35-33-186
d[1,187] = 3; PATH: 1-35-60-187
d[1,188] = 2; PATH: 1-198-188
d[1,189] = 2; PATH: 1-124-189
d[1,190] = 3; PATH: 1-63-190
d[1,191] = 1; PATH: 1-191
d[1,192] = 3; PATH: 1-35-192
d[1,193] = 2; PATH: 1-191-193
d[1,194] = 3; PATH: 1-26-45-194
d[1,195] = 2; PATH: 1-195
d[1,196] = 3; PATH: 1-26-34-196
d[1,197] = 2; PATH: 1-66-197
d[1,198] = 1; PATH: 1-198
d[1,199] = 3; PATH: 1-199
d[1,200] = 3; PATH: 1-26-200
d[2,1] = 3; PATH: 2-37-90-1
d[2,3] = 2; PATH: 2-121-3
d[2,4] = 2; PATH: 2-135-4
d[2,5] = 2; PATH: 2-9-5
d[2,6] = 2; PATH: 2-6
d[2,7] = 2; PATH: 2-73-7
d[2,8] = 2; PATH: 2-73-8
d[2,9] = 1; PATH: 2-9
d[2,10] = 2; PATH: 2-43-10
d[2,11] = 2; PATH: 2-43-11
d[2,12] = 3; PATH: 2-9-17-12
d[2,13] = 3; PATH: 2-37-24-13
d[2,14] = 3; PATH: 2-6-14
d[2,15] = 2; PATH: 2-87-15
d[2,16] = 3; PATH: 2-9-5-16
d[2,17] = 2; PATH: 2-9-17
d[2,18] = 2; PATH: 2-118-18
d[2,19] = 2; PATH: 2-183-19
d[2,20] = 2; PATH: 2-73-20
d[2,21] = 2; PATH: 2-195-21
d[2,22] = 3; PATH: 2-9-38-22
d[2,23] = 3; PATH: 2-34-23
d[2,24] = 2; PATH: 2-37-24
d[2,25] = 2; PATH: 2-57-25
d[2,26] = 2; PATH: 2-26
d[2,27] = 2; PATH: 2-195-27
d[2,28] = 3; PATH: 2-87-15-28
d[2,29] = 3; PATH: 2-43-10-29
d[2,30] = 2; PATH: 2-37-30
d[2,31] = 2; PATH: 2-189-31
d[2,32] = 3; PATH: 2-43-10-32
d[2,33] = 2; PATH: 2-37-33
d[2,34] = 1; PATH: 2-34
d[2,35] = 2; PATH: 2-35
d[2,36] = 2; PATH: 2-124-36
d[2,37] = 1; PATH: 2-37
d[2,38] = 2; PATH: 2-9-38
d[2,39] = 2; PATH: 2-135-39
d[2,40] = 2; PATH: 2-57-40
d[2,41] = 2; PATH: 2-41
d[2,42] = 3; PATH: 2-6-42
